"parameter_cd","group","parm_nm","epa_equivalence","result_statistical_basis","result_time_basis","result_weight_basis","result_particle_size_basis","result_sample_fraction","result_temperature_basis","CASRN","SRSName","parm_unit"
"49276","Information","PCB congener 204, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery","Not agree","","","","< 2 mm","Bed Sediment","","74472-52-9"," ","%"
"49277","Information","PCB congener 14, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery","Not agree","","","","< 2 mm","Bed Sediment","","34883-41-5"," ","%"
"49278","Information","p-Terphenyl-d14, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery","Not agree","","","","< 2 mm","Bed Sediment","","1718-51-0"," ","%"
"49279","Information","2-Fluorobiphenyl, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery","Not agree","","","","< 2 mm","Bed Sediment","","321-60-8"," ","%"
"49280","Information","Nitrobenzene-d5, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery","Not agree","","","","< 2 mm","Bed Sediment","","4165-60-0"," ","%"
"49289","Organics, Other","Lipids, biota, whole organism, wet weight, recoverable, percent","Agree","","","Wet","","Recoverable","","66455-18-3","Lipids","%"
"49316","Organics, Pesticide","cis-Nonachlor, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","5103-73-1","cis-Nonachlor","ug/kg"
"49317","Organics, Pesticide","trans-Nonachlor, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","39765-80-5","trans-Nonachlor","ug/kg"
"49318","Organics, Pesticide","Oxychlordane, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","27304-13-8","Oxychlordane","ug/kg"
"49319","Organics, Pesticide","Aldrin, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","309-00-2","Aldrin","ug/kg"
"49320","Organics, Pesticide","cis-Chlordane, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","5103-71-9","cis-Chlordane","ug/kg"
"49321","Organics, Pesticide","trans-Chlordane, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","5103-74-2","trans-Chlordane","ug/kg"
"49322","Organics, Pesticide","Chloroneb, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","2675-77-6","Chloroneb","ug/kg"
"49324","Organics, Pesticide","DCPA, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","1861-32-1","Chlorthal-dimethyl","ug/kg"
"49325","Organics, Pesticide","o,p'-DDD, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","53-19-0","o,p'-DDD","ug/kg"
"49326","Organics, Pesticide","p,p'-DDD, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","72-54-8","p,p'-DDD","ug/kg"
"49327","Organics, Pesticide","o,p'-DDE, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","3424-82-6","o,p'-DDE","ug/kg"
"49328","Organics, Pesticide","p,p'-DDE, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","72-55-9","p,p'-DDE","ug/kg"
"49329","Organics, Pesticide","o,p'-DDT, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","789-02-6","o,p'-DDT","ug/kg"
"49330","Organics, Pesticide","p,p'-DDT, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","50-29-3","p,p'-DDT","ug/kg"
"49331","Organics, Pesticide","Dieldrin, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","60-57-1","Dieldrin","ug/kg"
"49332","Organics, Pesticide","alpha-Endosulfan, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","959-98-8",".alpha.-Endosulfan","ug/kg"
"49335","Organics, Pesticide","Endrin, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","72-20-8","Endrin","ug/kg"
"49338","Organics, Pesticide","alpha-HCH, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","319-84-6",".alpha.-Hexachlorocyclohexane","ug/kg"
"49339","Organics, Pesticide","beta-HCH, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","319-85-7",".beta.-Hexachlorocyclohexane","ug/kg"
"49341","Organics, Pesticide","Heptachlor, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","76-44-8","Heptachlor","ug/kg"
"49342","Organics, Pesticide","Heptachlor epoxide, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","1024-57-3","Heptachlor epoxide","ug/kg"
"49343","Organics, Pesticide","Hexachlorobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","118-74-1","Hexachlorobenzene","ug/kg"
